,overall,reviewText,summary,sentiment
10,5.0,"Fresh from Connecticut, Taylor Henning lands a dream job at a major movie studio. Okay, so she's not a Creative Executive whose job it is to read and recommend screenplays for the studios to produce. No... she's just an assistant to the assistant of the powerful Iris Whitaker, President of Production.

When first assistant Kylie Arthur sabotages Taylor at the first opportunity she almost gets fired. That's when Taylor realizes that Hollywood is just like high school. If you're not in, no one wants to be your friend.

In order for Taylor to survive in this environment she enlists the help of Iris' sixteen year old daughter Quinn. Irritated to no end Quinn nevertheless takes on the challenge and begins texting Taylor ""rules"" to get ahead in the cut throat world of the movie business and amazingly enough her tips are working! That is until Quinn's next rule is to steal Kylie's boyfriend. Torn between doing the right thing and securing her real dream job Taylor has some tough decisions to make.

I LOVE, LOVE, LOVED this book!! It was so much fun. Yes it did remind me a lot of The Devil Wears Prada but Taylor became a cherished character and I very much wanted her to succeed. I even loved the snarky Quinn. She was a spoiled brat but she had a good heart and I was rooting for her too. This is a fun breezy read that I recommend to all chick lit lovers.",A quick fun read,positive
11,5.0,"I don't know about you but I would hate to have to go through high school again. All the cliques and having to worry about trying to see if you could become popular makes me shudder to even think about it. That's why I could never even think of applying for a job like Taylor. It's sad to say that I probably wouldn't last very long. What I really liked about Taylor is that even though she works in Hollywood, and has the untimely job of being a second assistant, she's not ditzy. She's really quite smart and knows about the actual movie industry even though she's not too knowledgeable about the hierarchy about moving up.  I really liked learning about scripts and background knowledge myself.  It makes the movie industry become more real when you know this stuff and not just like some magical wonderland.  Taylor is also realistic and relatable. This book does not having annoying slang thrown around by characters and there's not really that much name or label dropping.

It's funny seeing her battle wits with Kylie with each trying to outdo and slam down the other. Although Quinn appears to be of help to Taylor, it's also a testament to the lack of parenting that goes on in the industry.  I'm really not a fan of how teens can do all these things, ruin people's lives and then get completely away with it. The only qualm is that this is a storyline that has been done numerous times. Almost every chick flick that takes place in a magazine setting has done this plot. Therefore you know exactly what's going to happen. However the story is so engaging and the plot is witty and funny that it really doesn't matter and you get sucked up into the the lives of the characters.

If you are looking for a great book to bring to the beach this is it. It's a fun read that totally helps you to escape from the normal routines of daily life and brings you to the glamorous world of the rich, famous, and beautiful. I wish this book was part of a series because I would love to learn more about Taylor's life and the world of Hollywood cliques. HIGHLY recommended.",A Great Beach Read,positive
12,3.0,"Obviously the premise of this book first struck me as a knockoff of The Devil Wears Prada. I was pleasantly surprised, however, to discover that this was not another tale of assistants putting up with impossibly awful bosses; rather, Taylor's boss was not the problem - she's the kind of classy lady you would want to work for - instead it was Taylor's fellow assistant who turned out to be the complete psycho.

Taylor's character wasn't wildly appealing, but the story was funny, fast-paced and truly captured the lives of many assistants. I was interested, I wanted Taylor to prevail over her seemingly-insane roommate and her shallow judgemental co-workers - even when the story took some unrealistic turns, I was rooting for Taylor to win. I definitely recommend this book as a quick and fun summer read.",Quick & fun summer read with some twists,positive
13,4.0,"I am very happy that I have never been a fan of the ""Hollywood"" scene or that I never found myself ""needing"" to go Hollywood - because if I base myself on the novels I have been reading about Hollywood, this is NOT a place that I want to be.

In Hollywood is Like High School with Money, we discover that Taylor Henning has, unfortunately, been bitten by the mighty Hollywood bug as she finds herself in the lowest of all the positions (or is that security guard at the gate?).  She is an assistant and she is desperately trying to move on up in that world.  Enter some competition/potential BFF??? - especially Quinn who is loaded with advice, but is she giving it to help Taylor or destroy her?

This novel, which I thought was a fun and devilish read is loaded with true moments of what I would call some true Hollywood horror experiences and stories - as Taylor struggles to stand above it all, she finds herself caught in two worlds - that of her conscious and that of the real Hollywood scene.  What does a sweet, innocent (but quickly becoming less innocent by the minute) girl do to get ahead?  stick by her beliefs or become one of the backstabbers.

I loved that the author explores this issue in an honest and fortright manner - especially through the character of Quinn - which I pretty much hated for much of the book, but also thought was pretty true to the storyline.

This book made me want to scream at Taylor to run far away, but at the same time, I wanted to keep reading to get more ""dish"" on the whole scene.

One of those great beach read/end of summer books that you love to read.",Perfect beach/end of summer read,positive
14,4.0,"""Hollywood is Like High School with Money"" by Zoey Dean is a charming story about trying to break into the film business and staying there without getting stabbed in the back. Again, another story about Hollywood I had to read; but this time from the viewpoint of an assistant (the lowest of the lowest in that world). This one is funny and quirky and an easy read. Certainly, a good book to escape to the beach with!",Funny and Quirky,positive
15,4.0,"Synopsis:

Taylor Henning started her dream job at a major Hollywood studio. For as long as she can remember, Taylor has loved movies. The reclusive director Michael Deming and his seminal work Journal Girl have been a particular inspiration for Taylor. Although she's never received a response, Taylor sends Deming updates on her Hollywood experience.

Taylor soon finds that life as a second assistant involves small tasks and not the selection and producing of ""great films,"" at least to start. But more than the type of work, it's her co-workers that make Taylor miserable. It's like high school all over with the popular girls and their mean tricks. Taylor's too much of a nice girl to acclimatize. Outwitted one too many times by first assistant Kylie and with her job at risk, Taylor asks Quinn, her boss's popular teenage daughter, for tactical advice. It's not about being mean. It's about being confident. Not taking anyone's @#$%...Fake it till you make it...Speak up in class. When you're quiet, you're invisible...Make 1 cool friend...Lunch is a battleground...Enlist a faithful assistant. Taking Quinn's advice, Taylor wins victories against Kylie.

As Taylor starts to come into her own, a creative executive position opens up. Competing against Kylie and the other assistants for the promotion, Taylor proves willing to use darker methods to advance.

Review:

Hollywood is Like High School With Money is the first Zoey Dean novel that I've read. Though the plot seems straightforward and predictable, Zoey Dean sets up the conflicts wonderfully. It may be that I'm inured to violence and too sensitive to female bullying, but when I got to where Kylie was setting the first trap for Taylor, I found the tension unbearable. I had to pause, put the book down, and come back to it. After that break from the book, I couldn't put it down. When Taylor seemed naive and too trusting, Dean gave her enough wit to make her likable. As Taylor grew accustomed to manipulation and was veering to the dark side, I still cared about her.

Overall, Hollywood is Like High School With Money is a light, satisfying read. I highly recommend it as a fun escape.

Publisher: Grand Central Publishing (July 23, 2009), 288 pages.

Courtesy of Hatchette Books Group.","Fun, satisfying, summer read - would be hilarous movie!",positive
16,2.0,"This remote, for whatever reason, was chosen by Time Warner to replace their previous silver remote, the Time Warner Synergy V RC-U62CP-1.12S.  The actual function of this CLIKR-5 is OK, but the ergonomic design sets back remotes by 20 years.  The buttons are all the same, there's no separation of the number buttons, the volume and channel buttons are the same shape as the other buttons on the remote, and it all adds up to a crappy user experience.  Why would TWC accept this as a replacement?  This remote is virtually impossible to pick up and use without staring at it to make sure where your fingers are.  Heck, you have to feel around just to figure out if you've grabbed it by the top or bottom, since there's no articulation in the body of the thing to tell you which end is up.  Horrible, just horrible design.  I'm skipping this and paying double for a refurbished Synergy V.",Ergonomic nightmare,negative
17,5.0,Worked out of the box with my cable box in northern California. Better than the original. It was easy to program for the tv too.,Paid full price,positive
18,2.0,"I have an older URC-WR7 remote and thought this would be an upgrade (and because TWC stuck me with it), but this one fails where the other one didn't.  The old remote could go head to head and learn.  I have 2 different Blu Ray players (LG & Panasonic) and this one fails on both.  It cannot learn buttons.  The biggest problem is in streaming when I need to hit the blue, red, yellow, green buttons.  These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",Cannot Learn,negative
19,5.0,Works great!,Five Stars,positive
20,5.0,Cool,Awesome,positive
21,5.0,"Came with a ""bright house networks"" logo, but worked on Time Warner box perfectly.",Works,positive
22,5.0,very nice....,Five Stars,positive
23,5.0,Works great,Five Stars,positive
24,5.0,"First time I've EVER had a remote that needed no programming whatsoever so I have to give it bragging rights.  All the other 8780Ls I've had certainly had to be set up first.

Yes I wish it was Silver or White or some color that would permit its buttons to be more easily read but its thinner in hand than the ATLAS OCAP 5-Device Cable Remote Control 1056B03 so its the best thing I can find for a Samsung DVR with Samsung TV on the TWC system in NY.",zero programming needed!  Miracle!?,positive
25,3.0,volume buttons do not work.,Three Stars,positive
26,4.0,Got them and only 2 of them worked. company called me after the feedback and told me they would send me a refund. The 2 that are working are doing fine. I like the lighted feature a lot for the night time.,Works Good and programs easy.,positive
27,5.0,Works like it should,Exactly what you need,positive
28,5.0,"I got tired of the remote being on the wrong side of the bed. I was going to buy a generic remote when I got the idea to look for the real thing.  For a few bucks more I got this one. It is the same one as Time Warner gives you, works exactly the same, don't have to relearn anything.",Same as TWC remote,positive
29,1.0,Volume buttons were dead on arrival. be aware of possible defects!!,One Star,negative
30,5.0,Works fine easy to program,Five Stars,positive
31,5.0,Perfect backup for existing TWC remote,Five Stars,positive
32,4.0,"This remote is the perfect solution for controlling my TWC cable box with DVR and my Visio TV, Sony Blu-ray player and Denon AVR. It was easy (15 - 20 minutes) to program the remote to control all this equipment. Still need to use my Visio remote to access Netflix and Amazon Video, but otherwise the TWC remote works great!",TWC remote controls all my AV equipment!,positive
33,5.0,excellent!  delivery was immediate.,excellent! delivery was immediate,positive
34,5.0,"Came on time, fair price, and comparatively easy to set up. TWC took the old one and would not return it, and their ""replacement"" clicker is useless. This works fine!",Works fine.,positive
35,5.0,worked. cheap.,if the cable company is a dick. just buy one from here.,positive
36,5.0,Works just like the rental unit supplied by the cable company.  In fact it is identical.  Just what I was looking for.,Works just like the rental unit supplied by the cable company,positive
37,5.0,great,Five Stars,positive
38,5.0,awesome product,Five Stars,positive
39,5.0,"I love the remote, my old remote was going bad and I looked everywhere trying to find something, finally I decided to look online and I found the exact same kind, and they work great with my tv, I got one for my parents also. Great remote.",works great!,positive
40,4.0,GREAT PRICE... GREAT REMOTE,Four Stars,positive
41,5.0,"An excellent product/price, and super-fast shipping.",A direct replacement,positive
42,3.0,"It's ok. Feels somewhat awkward in hand. SMALL buttons on the bottom, great if your an elf.",great if your an elf,positive
43,5.0,Perfect replacement for the last one my dog chewed up. It works perfect and even came with some cheap batteries. It arrived quickly and was double packed inside a heavily padded envelope. Will buy again if my dog gets ahold of this one!,Great!,positive
44,5.0,Had to replace my old TWC remote as some of the buttons wouldn't work. This is a bit upgraded and works just as good,Nice,positive
45,5.0,My old Time Warner remote was causing me to pull my hair out. Bought this and has worked like a charm. All along I thought my TWC box was to blame and all I had was a defective remote. Should TWC have provided me a replacement? Yes. But this was much faster and works great.,Perfect replacement for faulty TWC remote,positive
46,5.0,"It works. It's interesting, I got one assembled in Mexico and it recently started to not work without a hard push on the buttons.

This one, identical in every way, is assembled in Korea. Seems to be better made.

Go figure.

But, it works,,,, I am happy",Works great for TWC.  No problems,positive
47,5.0,IT WORKS WONDERFUL.........,Five Stars,positive
48,5.0,"Works just fine, quick delivery.",Five Stars,positive
49,5.0,Saved a bundle buying this from Amazon and not the cable company.  Works great!,Works great!,positive
50,3.0,It works but the button layout is terrible.  Half the time the wrong button gets pressed - annoying.,bad design,positive
51,4.0,I purchased this product not to use in commerical trucking but rather to use when I am traveling with my 5th wheel RV.  So far this product as been very good.  Rand McNally folks seem to be working to continue to improve the software along with prompt updates.  Although designed for the trucking industry it works great for us RV folks as well.  I found for a 2500 HD pickup the unit is a little large for the windshield.  I use the unit with a mount that fits in my cup holder and that has worked out great.  I would recommend this product.,TND 700 Truck GPS,positive
52,3.0,"Well, what can I say.  I've had this unit in my truck for about four days now.  Prior to that I had a Garmin 755T non-truck GPS.  One of my favorite features in that unit was the ability to plan a route by determining mileage using the stop or via feature.  What I would do is using a map I would route myself several different ways forcing the unit by putting in stops or vias at different locations along the route, otherwise, like most GPS 's, it determines what it thinks is the best route.  I could add up to 10 Via's or stop points for each route and then based on mileage and other factors determine which is the best route to take.  Multiple stops and the ability to route was the most important reason for having the Garmin.  However it was not truck specific.  And considering I am now hauling strictly hazmat I wanted something that would take that into consideration.  After perusing various forums, review sites, and word-of-mouth my choices boiled down to the Garmin 465T or the RAND McNally Intelliroute TND 700.  Even though it was quite a bit more than the Garmin I chose the TND 700 for several reasons.  The main one being the extra screen size, and its ability to coordinate with the RAND McNally truck atlas and also its ease of updating.

Now on to my first impression of the TND 700.  It seems to be an aesthetically pleasing and durably built unit.  The first thing I noticed was it's very slow to boot compared to my old Garmin.  Whether this is unique to the TND 700 or is common amongst all truck specific gps units I cannot tell, but it's really not that big of a deal.  The second thing I noticed was the overwhelming wealth of information put forth.  That might explain why the manual (available via the TND dock) is well over 100 pages long.....  There is somewhat of a learning curve with this unit.  The next thing I noticed was the complexity of entering routes.  As previously mentioned I like to force it into my preferred routing by the use of stops or vias.  That was a big no go with this unit.  While you can enter multiple stops or vias it is nowhere near as user-friendly as my old Garmin.  Furthermore there is no way you can determine total mileage on the route that you have chosen, as I could with the Garmin.  Totally flummoxed by what appeared to be an omission of one of the best routing tools a trucker could have I went online and verified through an expert source connected with RAND McNally that no, that feature was a couple updates down the line and was not available at this point.  Unbelievable.  Also forcing the unit to follow a specific route can be very challenging.  For a unit of this price, and feature laden, I find this totally unacceptable.  I am still mulling over selling this unit  and buying the Garmin 465T.  I really do like this GPS, the screen is magnificent, and the volume is awesome.

Another thing I've noticed, which I do not think is unique to this unit, is some of the weird routing that it does.  I've never owned a truck specific GPS before but after playing with this one for a couple of days I get the impression that what RAND MacNally (and the others that use Navteq) has done is take a plain old car specific Navteq map and a road atlas with truck restrictions and made notifications on the map.  In most databases there is not a 100% thorough listing of every road in the country.  What I mean is that this unit will route you down roads you don't belong on.  Today while coming home it tried routing me on several  9 ton County roads.  What that means is that a truck is limited to 73280 unless the road is posted at 10 tons.  County roads do not have that restriction listed in the RAND McNally road atlas, so I believe that is why it is not listed.....  Also unacceptable in a unit of this price and sold as truck specific.  However I'd be willing to bet the other truck specific units are the same way as no one has ever done a truck specific version of NavTeq.

 Another bone I have to pick is the POI's. Not only the truck specific ones but the others all seem to be somewhat outdated.  I think the Garmin, at least the ones that I have used, are more current.  It would also be nice if I could add my own POI's

To sum it up I will keep this unit a little longer to see if I can make it workable.  If not I will go back to Garmin.  I like the concept and I like the unit but at this point I'll have to say I am somewhat unimpressed.

pros:
Large screen
terrific images
outstanding volume

cons:
inability to determine route mileage by multiple stops and vias
a somewhat outdated POI information.
Non-truck specific routings.
Cost.",1st impression,positive
53,4.0,"This is a great truck GPS. I've tried others and nothing seems to come close to the Rand McNally TND-700.

Excellent screen size and resolution. The audio is loud enough to be heard over road noise and the purr of my Kenworth/Cat engine. I've used it for the last 8,000 miles or so and it has only glitched once. Just restarted it and it picked up on my route right where it should have. The exit lane screen has been spot on every time and gives me plenty of time to get my rig into the appropriate lane safely. I also love the multi-stop route planning and use it a lot. Updated regularly, it has shown me all the construction zones and has a feature to allow me to detour around them. Creating Groups and storing locations in them is a breeze so I can separate warehouse from store locations, etc.

I'm running an HP Pavilion laptop with Windows 7 OS for the dock and update. The USB port DOES charge the GPS, at least with my laptop, despite the warning in a previous review. Even if it didn't, the supplied 12-volt and AC chargers take care of getting the battery up to speed.

My complaints are relatively minor:

Battery life when it is unplugged isn't great. However, since I use it plugged in in the cab 95% of the time, it doesn't create too much of a problem.

The announcement of state borders coming up is nice but it doesn't tell you (or show you on the map display) what state you are in and/or going into. Again, a minor issue because I know where I am but all my other GPS units had this feature. For $500 smackers, I don't expect this kind of slip-up.

There is a Micro SD slot on the unit and I bought a card for it. Unfortunately, the manual has absolutely no information on using it. The only reference is on the page showing the physical features of the unit, showing the position of the slot. Annoying.

Clean up the minor issues and this unit rates a solid 5.

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Rand-McNally-528881469-7-inch-Intelliroute-TND-700-Truck-GPS/dp/0528881469/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS</a>",Great Unit!,positive
54,2.0,"My brother is a trucker and pre-ordered this.  He was out on the road when it arrived, so he asked me to charge it, update it, and play with it.  FUN!  I am not a trucker, but from what I hear from my brother, the tools on this device are awesome.  It looks like it would be very helpful for him.  The thing is huge, a 7"" screen!  Overall, this seems to be a great tool.

My problem with it is that it cannot update.  I have a brand new computer running Windows 7 64 bit.  It's a Dell Studio XPS 8100 (i5 processor).  After reading on forums and contacting Rand McNally, I have learned that Windows 7 does not send enough power to the USB ports to allow the TND 700 to go into ""connected"" mode when it's plugged in to a computer.  Supposedly this is a problem that occurs mostly with laptops and some Dell systems (""Dell Latitude or Inspiron PC (it may occur on other models as well)"").  Rand McNally send a very helpful email with some solutions to the problem, though it sounds like they are still unsure of all fixes or what causes the problem.  I am disappointed that a brand new device does not work with a brand new operating system, though that seems to be the nature of all things now-a-days.  I am hoping that it will update on my brother's XP laptop. we'll see when he gets back home.",New GPS doesn't work with new Windows 7,negative
55,1.0,Works great when I tape up  the plug to the port. I see why this was for sale.  Other than that it works fine.,plug falls out,negative
56,1.0,Did not work. I'm sure the seller knew this before he shipped it. Out dated and cannot be used at all. Those are words from the manufacturer.,Do not buy!,negative
57,2.0,No up dates after 3 years!,Two Stars,negative
58,5.0,It was great.,Five Stars,positive
59,5.0,"We got this GPS for my husband who is an (OTR) over the road trucker.  Very Impressed with the shipping time, it arrived a few days earlier than expected...  within a week of use however it started freezing up... could of just been a glitch in that unit.  Worked great when it worked!  Will work great for the normal person as well but does have the ""trucker"" option. (the big truck routes - tells you when a scale is coming up ect...)  Love the bigger screen, the ease of use, the ease of putting addresses into memory.  Nothing really bad to say about the unit with the exception of it freezing which is probably one in a million and that's just my luck.  I contacted the seller and within minutes of my email I received a email back with instructions for an exchange! VERY impressed all the way around!",Gotta have GPS!,positive
60,1.0,"I've had mine for a year and here's what we got. It tries to route be down non truck routes while telling me the truck route is illegal for me. This is such a bad problem that even Interstate 25 in Denver Colorado is listed (according to this GPS) as a non- truck route and will route you through the city instead. There are several drivers within our company who own one and more than half (of about 50) have crashed to an un-recoverable state. Our company representative said that Rand McNally informed them that the GPS was not designed to say on for a long period of time. Really? it's a truck driver GPS. We have one driver with a $2400 dollar ticket due to this GPS routing him down the wrong road. The companies response was to update the unit. I've had mine for a year, I never noticed one update that corrected functionality, they only seem to keep messing the tools. I want a GPS that routes, if I wanted tools I'd buy software for my computer.

My suggestion is to by a nice Garmen. My one rated for cars actually routes me better than this one rated for trucks.

Wayne","Major issues, only excuses for support",negative
61,5.0,"I did a lot of comparison shopping and decided to buy the Rand McNally 7"" GPS.  Has better graphics than Cobra 7"".  It does have lane assist which is important when in large metro areas and need to be in correct lane for exits, etc Atlanta, GA.  I have read some of the negative comments written earlier and I do not have those problems.  Sure, sometimes it does not give the fastest or the simplest route but it has never sent me down a non truck route like all the prior gps i have had in the past.  I am a car carrier so I set truck size at 13' 8"" and it has kept me from going down roads with 13'6"" bridges.  The only negative comment I have is that it constantly changes map views from city to county to state way to often.  Other than this, I love the fact that:  1) it shows mileage to destination, arrival time (which you can change to time left),  2) shows the city, county and state you are current located (how often we truck drivers pull over at a rest area or truck stop and wonder what city we are located).  3) large 7"" color screen for easy viewing and screen changes automatically for night time driving  4) list truck poi and non truck poi (wish Rand McNally had a feature that would let us send them an update for poi, maybe when we get at a Loves that use to be a Pilot, just tap on the screen and edit info, then when I connect gps to computer for weekly update the map will get updated.  5) able to update construction info by linking gps to computer and get updates given to Rand McNally by the states.  Unfortunately like usual  the states are mostly behind on updates given to Rand McNally.  This is where we the consumer should have the ability to tap screen and make corrections and send it to Rand McNally.  Many times I have gone into areas that it said ""Construction Ahead"" and no construction is being done because it has been completed.  6)  speed limits of highways and Interstates and shows your current speed just below it (also shows truck speed limits in red) Still the states have to report these limits to Rand McNally and as usual they are slow on reporting.  But still most of the time 95% it is correct.  7)  great truckers tools like driving hours left.  It automatically changes to driving when truck has moved for more than 1 mile and changes to off duty if it is idle for 15 minutes.  It lets you know when you have 1 hour left to drive and that driving time has expired. You reset every day manually.  Also have total hours worked for day and hours left to work for the week. You will have to manually override this sometimes because it doesn't distinguish off duty and on duty hours well, you have to manually tell it you are on duty.  I just manually configure at the end of the day.  The important one is driving hours and end of the week hours.  8)  service reminders for your perimeters you set, such as 8000 and 16000 services.  You reset manually when completed.  9)  able to set many multiple stops set and ability to add more stops in route  10) loud enough to hear spoken text to speech street names over engine noise (and believe me my truck is loud)  11) ability to save your own poi (I do it all the time)  12) it tells you when you are 3 miles from approaching a weight station (you can configure it up to 5 miles)  13) it tells you when you are 1 mile from state border and tells you when you cross border and what state you are in.  14) it tells you all mileage you driven that day and mileage by state and mileage by day.  saves info for 1 year.  Overall, this is definitely a truckers friend and I absolutely love this GPS.  A definite must buy.",Excellent buy,positive
